Author,Title,ID
,"Something Borrowed (Darcy & Rachel, #1)",23774
,"The Silence of the Lambs  (Hannibal Lecter, #2)",23807
,"King Solomon's Mines (Allan Quatermain, #1)",23814
,Trainspotting,23955
,The Female Brain,23968
,Charlotte's Web,24178
,Alice's Adventures in Wonderland & Through the Looking-Glass,24213
,Les Misérables,24280
,Ella Enchanted (Ella Enchanted #1),24337
,The Adventures of Tom Sawyer & Adventures of Huckleberry Finn,24580
,The Castle of Llyr (The Chronicles of Prydain #3),24779
,"The Book of Three (The Chronicles of Prydain, #1)",24780
,"The Black Cauldron (The Chronicles of Prydain, #2)",24784
,Zorro,24796
,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",25019
,The Postman Always Rings Twice,25807
,"Left Behind (Left Behind, #1)",27523
,The Moonspinners,27693
,The Neverending Story,27712
,"The Lightning Thief (Percy Jackson and the Olympians, #1)",28187
,"Inkheart (Inkworld, #1)",28194
,American Psycho,28676
,"Red Dragon (Hannibal Lecter, #1)",28877
,"The Last Unicorn (The Last Unicorn, #1)",29127
,"Gods and Generals (The Civil War Trilogy, #1)",29925
,"Incubus Dreams (Anita Blake, Vampire Hunter, #12)",30271
,Blood and Chocolate,30324
,The Hunchback of Notre-Dame,30597
,The Matarese Circle (Matarese #1),31231
,"The Bourne Ultimatum (Jason Bourne, #3)",31259
,"A Great Deliverance (Inspector Lynley, #1)",31374
,White Oleander,32234
,"Blood Work (Harry Bosch Universe, #8; Terry McCaleb #1)",32504
,The Return of the Native  ,32650
,"Clear and Present Danger (Jack Ryan Universe, #6)",32669
,"Patriot Games (Jack Ryan Universe, #2)",32682
,Gerald's Game,32692
,"From the Earth to the Moon (Extraordinary Voyages, #4)",32827
,"Journey to the Center of the Earth (Extraordinary Voyages, #3)",32829
,"The Mysterious Island (Extraordinary Voyages, #12)",32831
,The Best of the Spirit,33477
,"Twenty Thousand Leagues Under the Sea (Extraordinary Voyages, #6)",33507
,Peter Pan,34268
,"The Amazing Maurice and His Educated Rodents (Discworld, #28)",34534
,"The Sum of All Fears (Jack Ryan Universe, #7)",34993
,Battle Cry of Freedom,35100
,The Night at the Museum,37379
,The Secret Life of Bees,37435
,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",37470
,The Last of the Mohicans (The Leatherstocking Tales #2),38296
,"Ring (Ring, #1)",38379
,"Holes (Holes, #1)",38709
,"The Princess Diaries (The Princess Diaries, #1)",38980
,Different Seasons,39662
,Nanny Mcphee: The Collected Tales of Nurse Matilda,39987
,Matilda,39988
,The Boy in the Striped Pajamas,39999
,"A Princess of Mars (Barsoom, #1)",40395
,"Tarzan of the Apes (Tarzan, #1)",40425
,The Jungle Books,41684
,"Raise the Titanic! (Dirk Pitt, #4)",41706
,"Sahara (Dirk Pitt, #11)",41716
,"I, Robot (Robot, #0.1)",41804
,"Twilight (Twilight, #1)",41865
,The Children of Men,41913
,Circle of Friends,41977
,The Christmas Shoes (Christmas Hope #1),42172
,"Tai-Pan (Asian Saga, #2)",42933
,White Fang,43035
,"The Call of the Wild, White Fang and Other Stories",43037
,"Flowers in the Attic (Dollanganger, #1)",43448
,The Once and Future King (The Once and Future King #1-4),43545
,"The Gunslinger (The Dark Tower, #1)",43615
,"The Queen of the Damned (The Vampire Chronicles, #3)",43758
,"Interview with the Vampire (The Vampire Chronicles, #1)",43763
,Monster,44184
,"Ask the Dust (Arturo Bandini, #3)",46227
