Title,Film
"Amerika (1927), Franz Kafka",Klassenverhältnisse (Class Relations) (1984)Intervista (1987)Amerika (1994)
"Les amitiés particulières (This Special Friendship) (1943), Roger Peyrefitte",Les amitiés particulières (1964)
"The Amityville Horror (1977), Jay Anson",The Amityville Horror (1979)The Amityville Horror (2005)
"El Amor infiel (The Unfaithful Love) (1970), Mario David",El Amor infiel (1974)
"Amos Judd (1895), John Ames Mitchell",The Young Rajah (1922)
"Amu (2005), Shonali Bose",Amu (2005)
"La Anam (Sleepless) (1969), Ihsan Abdel Quddous",La Anam (1957)
"Anatomy of a Murder (1958), John D. Voelker (as Robert Traver)",Anatomy of a Murder (1959)
"And Now Tomorrow (1942), Rachel Field",And Now Tomorrow (1944)
"And Then There Were None (1939), Agatha Christie",And Then There Were None (1945)Ten Little Indians (1959) (TV)Gumnaam (1965)Ten Little Indians (1965)Zehn kleine Negerlein (1969) (TV)And Then There Were None (1974)Desyat Negrityat (1987)Ten Little Indians (1989)Identity (2003)
"The Anderson Tapes (1969), Lawrence Sanders",The Anderson Tapes (1971)
"Andromeda: A Space-Age Tale (1957), Ivan Yefremov",The Andromeda Nebula (1967)
"The Andromeda Strain (1969), Michael Crichton",The Andromeda Strain (1971)The Andromeda Strain (2008) (TV)
"Angel (1957), Elizabeth Taylor",Angel (2007)
"Angel Square (1987), Brian Doyle",Angel Square (1990)
"Angélique (1957–2012) (series), Anne Golon and Serge Golon","Angélique, marquise des anges (1964)* Merveilleuse Angélique (1965)** Angélique et le roy (1966)*** Indomptable Angélique (fr) (1967)**** Angélique et le Sultan (fr) (1968)"
"Angels & Demons (2000), Dan Brown",Angels & Demons (2009)
"Anglo-Saxon Attitudes (1956), Angus Wilson",Anglo-Saxon Attitudes (1992)
"The Angry Hills (1955), Leon Uris",The Angry Hills (1959)
"Die Angst des Tormanns beim Elfmeter (The Goalkeeper's Fear of the Penalty) (1970), Peter Handke",The Goalkeeper's Fear of the Penalty (1972)
"Un animal doué de raison (A Sentient Animal) (1967), Robert Merle",The Day of the Dolphin (1973)
"Animal Farm (1945), George Orwell",Animal Farm (1954)Animal Farm (1999) (TV)
"Anna and the King of Siam (1944), Margaret Landon",Anna and the King of Siam (1946)The King and I (1956)The King and I (1999)Anna and the King (1999)
"Anna Karenina (1873–1887) (serial), (1888) (novel), Leo Tolstoy",Anna Karenina (1914)Anna Karenina (1915)Love (1927)Anna Karenina (1935)Anna Karenina (1948)Nahr al-Hob (River of Love) (1960)Anna Karenina (1967)Anna Karenina (1974)Anna Karenina (1985)Anna Karenina (1997)Anna Karenina (2005)Anna Karenina (2012)
"Anna to the Infinite Power (1979), Mildred Ames",Anna to the Infinite Power (1983)
"Anne of Avonlea (1909), Lucy Maud Montgomery",Anne of Avonlea (1975) (TV)Anne of Avonlea (1987) (TV)
"Anne of Green Gables (1908), Lucy Maud Montgomery",Anne of Green Gables (1919)Anne of Green Gables (1934)* Anne of Windy Poplars (1940)Anne of Green Gables (1956) (TV)Anne of Green Gables (1972) (TV)* Anne of Avonlea (1975) (TV)Anne of Green Gables (1985) (TV)** Anne of Avonlea (1987) (TV)** * Anne of Green Gables: The Continuing Story (2000) (TV)** ** Anne of Green Gables: A New Beginning (2009) (TV)
"L'Année des méduses (The Year of the Jellyfish) (1983), Christopher Frank",L'Année des méduses (Year of the Jellyfish) (1984)
"The Anointed (1937), Clyde Brion Davis",Adventure (1945)
"The Antagonists (1971), Ernest K. Gann",Masada (1987) (TV) (mini)
"Anthony Adverse (1933), Hervey Allen",Anthony Adverse (1936)
"Antikiller (Антикиллер) (1999), Daniil Koretsky",Antikiller (2002)
"Antonieta (1978), Andrés Henestrosa",Antonieta (1982)
"Apache Rising (1957), Marvin H. Albert",Duel at Diablo (1966)
"A Job for Jenny (1945) (a. k. a. A Job for Jenny), Faith Baldwin",Apartment for Peggy (1948)
"The Apocalypse Watch (1995), Robert Ludlum",The Apocalypse Watch (1997) (TV)
"The Apple Dumpling Gang (1971), Jack Bickham",The Apple Dumpling Gang (1975)* The Apple Dumpling Gang Rides Again (1979)** Tales from the Apple Dumpling Gang (1982) (TV)
"Appointment with Death (1938), Agatha Christie",Appointment with Death (1988)
"Appointment with Venus (1951), Jerrard Tickell",Appointment with Venus (1951)
"The Apprenticeship of Duddy Kravitz (1959), Mordecai Richler",The Apprenticeship of Duddy Kravitz (1974)
"Armageddon 2419 A.D. (1928), Philip Francis Nowlan* The Airlords of Han (1929), Philip Francis Nowlan",Buck Rogers (1939)Buck Rogers in the 25th Century (1979)
"L'Armée des ombres (The Army of Shadows) (1943), Joseph Kessel",L'Armée des ombres (The Army of Shadows) (1969)
"Arouse and Beware (1936), MacKinlay Kantor",The Man from Dakota (1940)
"Arrowsmith (1925), Sinclair Lewis",Arrowsmith (1931)
"El Asalto (The Robbery) (1956), Enrique Silberstein",El Asalto (The Robbery) (1960)
"Ascenseur pour l'échafaud (Lift to the Scaffold) (1951), Noël Calef",Elevator to the Gallows (1958)
"Ask the Dust (1939), John Fante",Ask the Dust (2006)
"Asking for Trouble (2001), Elizabeth Young",The Wedding Date (2005)
"The Asphalt Jungle (1949), W. R. Burnett",The Asphalt Jungle (1950)The Badlanders (1959)
"The Assassination Bureau, Ltd (1963), Jack London",The Assassination Bureau (1969)
"The Assassination of Jesse James by the Coward Robert Ford (1983), Ron Hansen",The Assassination of Jesse James by the Coward Robert Ford (2007)
"L'Assommoir (1877), Émile Zola",Gervaise (1956)
"Assunta Spina (1908), Salvatore Di Giacomo",Assunta Spina (1915)Assunta Spina (1930)Assunta Spina (1948)Assunta Spina (2006)
"The Astronauts (1961), Stanisław Lem",First Spaceship on Venus (1960)
"Asylum (1996), Patrick McGrath",Asylum (2005)
"At Play in the Fields of the Lord (1965), Peter Matthiessen",At Play in the Fields of the Lord (1991)
"At the Earth's Core (1914) (serial), (1922) (novel), Edgar Rice Burroughs",At the Earth's Core (1976)Journey to the Center of the Earth (2008)
"Atlantis (1912), Gerhart Hauptmann",Atlantis (1913)
"Atonement (2001), Ian McEwan",Atonement (2007)
"Audrey Rose (1975), Frank De Felitta",Audrey Rose (1977)
"The Auction Block (1914), Rex Beach",The Auction Block (1917)The Auction Block (1926)
"Auntie Mame (1955), Patrick Dennis",Auntie Mame (1958)
"Avalon High (2005), Meg Cabot",Avalon High (2010) (TV)
"The Aviator (1981), Ernest K. Gann",The Aviator (1985)
"Away All Boats (1953), Kenneth M. Dodson",Away All Boats (1956)
An Awfully Big Adventure (1989) Beryl Bainbridge,An Awfully Big Adventure (1995)
"The Ax (1997), Donald E. Westlake",Le Couperet (2005)
"Ayat-Ayat Cinta (The Verses of Love) (2005), Habiburrahman El Shirazy",Ayat-Ayat Cinta (2008)
"Baby Love (1968), Tina Chad Christian",Baby Love (1968)
"Babylon Babies (1999), Maurice Georges Dantec",Babylon A.D. (2008)
"Back Street (1931), Fannie Hurst",Back Street (1932)Back Street (1941)Back Street (1961)
"Back When We Were Grownups (2001), Anne Tyler",Back When We Were Grownups (2004)
"Background to Danger (1937) (a. k. a. Uncommon Danger), Eric Ambler",Background to Danger (1943)
"Bad Girl (1928), Viña Delmar",Bad Girl (1931)
"The Bad Seed (1954), William March (novel)* The Bad Seed (1954), play adaptation by Maxwell Anderson",The Bad Seed (1956)The Bad Seed (1985) (TV)The Bad Seed (TBA 2013)
"Baise-moi(1999), Virginie Despentes",Baise-moi (2000)
"The Bait (1968), Dorothy Uhnak",The Bait (1973) (TV)
"The Ballad of Cat Ballou (1956), Roy Chanslor",Cat Ballou (1965)
"The Ballad of the Flim-Flam Man (1965), Guy Owen",The Flim-Flam Man (1967)
"The Ballad of the Running Man (1963), Shelley Smith",The Running Man (1963)
"Balzac et la petite tailleuse chinoise (Balzac and the Little Chinese Seamstress) (2000), Dai Sijie",Balzac and the Little Chinese Seamstress (2002)
"Band of Angels (1955), Robert Penn Warren",Band of Angels (1957)
"Bank Shot (1972), Donald E. Westlake",Bank Shot (1974)
"Banner in the Sky (1900), James Ramsey Ullman",Third Man on the Mountain (1959)
"The Barefoot Mailman (1943), Theodore Pratt",The Barefoot Mailman (1951)
"Basil of Baker Street (1958), Eve Titus",The Great Mouse Detective (1986)
"Bastard Out of Carolina (1992), Dorothy Allison",Bastard Out of Carolina (1996)
"Battle Cry (1953), Leon Uris",Battle Cry (1955)
"The Battle of the Villa Fiorita (1963), Rumer Godden",The Battle of the Villa Fiorita (1965)
"Battle Royale (1999), Koushun Takami",Battle Royale (2000)* Battle Royale II: Requiem (2003)
"Battlefield Earth (1982), L. Ron Hubbard",Battlefield Earth (2000)
"Be Cool (1999), Elmore Leonard",Be Cool (2005)
"Be Ready with Bells and Drums (1961), Elizabeth Kata",A Patch of Blue (1965)
"Be Still, My Love (1947), June Truesdell",The Accused (1949)
"The Beach (1996), Alex Garland",The Beach (2000)
"Beaches (1985), Iris Rainer Dart",Beaches (1988)
"The Beardless Warriors (1960), Richard Matheson",The Young Warriors (1967)
"The Beast (1991), Peter Benchley",The Beast (1996)
"The Beast Master (1959), Andre Norton",The Beastmaster (1982)* Beastmaster 2: Through the Portal of Time (1991)** Beastmaster III: The Eye of Braxus (1996) (TV)
"The Beast Must Die (1938), Cecil Day-Lewis (as Nicholas Blake)",La Bestia debe morir (1952)Que la bête meure (The Beast Must Die) (1969) (a. k. a. This Man Must Die)
"The Beast Within (1981), Edward Levy",The Beast Within (1982)
"Beat the Devil (1951), Claud Cockburn (as James Helvick)",Beat the Devil (1953)
"Beau Brocade (1907), Baroness Emmuska Orczy",Beau Brocade (1916)
"Beau Geste (1924), P. C. Wren",Beau Geste (1926)Beau Hunks (1931)Beau Geste (1939)Beau Geste (1966)Follow That Camel (1967)The Last Remake of Beau Geste (1977)Beau Geste (1982) (TV) (mini)
"Beautiful Creatures (2009), Kami Garcia and Margaret Stohl",Beautiful Creatures (2013)
"Bedelia (1945), Vera Caspary",Bedelia (1946)
"Bee Season (2000), Myla Goldberg",Bee Season (2005)
"Beer and Blood: The Story of a Couple o' Wrong Guys (1930), John Bright and Kubec Glasmon",The Public Enemy (1931)
"Before the Fact (1932), Anthony Berkeley (as Francis Iles)",Suspicion (1941)
"Behind That Curtain (1928), Earl Derr Biggers",Behind That Curtain (1929)
"Being There (1971), Jerzy Kosinski",Being There (1979)
"Bel Ami (1885), Guy de Maupassant",Bel Ami (1939)The Private Affairs of Bel Ami (1947)Bel Ami (2005) (TV)Bel Ami (2012)
"Belle de Jour (1928), Joseph Kessel",Belle de Jour (1967)
"Belli Moda (Silver Cloud) (1961), Anasuya Shankar",Belli Moda (1966)
"Bellman and True (1975), Desmond Lowden",Bellman and True (1987)The Real McCoy (1993)
"Beloved (1987), Toni Morrison",Beloved (1998)
"Belphégor (1927), Arthur Bernède",Belphégor - Le fantôme du Louvre (2001)
"Ben-Hur: A Tale of the Christ (1880), Lew Wallace",Ben Hur (1907)Ben-Hur (1925)Ben-Hur (1959)Ben Hur (2003)Ben Hur (2010) (TV) (mini)
"Benjamin Blake (1941), Edison Marshall",Son of Fury: The Story of Benjamin Blake (1942)Treasure of the Golden Condor (1953)
"Benzina (Gasoline) (1998), Elena Stancanelli",Gasoline (2001)
"Beowulf (Eighth to Eleventh Century), unknown",Beowulf(2007)
"Berlin Alexanderplatz (1929), Alfred Döblin",Berlin — Alexanderplatz (1931)Berlin Alexanderplatz (1980) (TV)
"La bestia nel cuore (2003), Cristina Comencini",La bestia nel cuore (The Beast in the Heart) (2005) (a. k. a. Don't Tell)
"La Bête humaine (1890), Émile Zola",Die Bestie im Menschen (1920)La Bête Humaine (1938)Human Desire (1954)La Bestia humana (1954)Cruel Train (1995)
"The Betsy (1971), Harold Robbins",The Betsy (1978)
"Beyond the Forest: The Story of a Man and Woman Destroyed by Love (1948), Stuart D. Engstrand",Beyond the Forest (1949)
"Beyond This Place (1953), A. J. Cronin",Beyond This Place (1955)Beyond This Place (1957) (TV)Kala Pani (1958)Web of Evidence (1959)Poola Rangadu (1967)
"The BFG (1982), Roald Dahl","The BFG (1989)
The BFG (2016)"
"Bhowani Junction (1954), John Masters",Bhowani Junction (1956)
"Bid Time Return (1975), Richard Matheson",Somewhere in Time (1980)
"The Beginning and the End (بداية ونهاية, Bidaya wa Nihaya) (1960), Naguib Mahfouz",Bidaya wa Nihaya (1960)
"The Big Bounce (1966) (written) (1969) (published), Elmore Leonard",The Big Bounce (1969)The Big Bounce (2004)
"The Big Clock (1946), Kenneth Fearing",The Big Clock (1948)No Way Out (1987)
"Big Fish: A Novel of Mythic Proportions (1998), Daniel Wallace",Big Fish (2003)
"The Big Fisherman (1948), Lloyd C. Douglas",The Big Fisherman (1959)
"The Big Heat (1952), William P. McGivern",The Big Heat (1953)
"Big Red (1945), Jim Kjelgaard",Big Red (1962)
"The Big Sleep (1939), Raymond Chandler",The Big Sleep (1946)The Big Sleep (1978)The Big Lebowski (1998)
"Big Trouble (1999), Dave Barry",Big Trouble (2002)
"Biggles (1932–1968) (series), W. E. Johns",Biggles: Adventures in Time (1986)It Couldn't Happen Here (1988)
"Billion-Dollar Brain (1966), Len Deighton",Billion Dollar Brain (1967)
"Billy Bathgate (1989), E. L. Doctorow",Billy Bathgate (1991)
"Billy Liar (1969), Keith Waterhouse",Billy Liar (1963)
"Birdy (1978), William Wharton",Birdy (1984)
"The Bishop's Wife (1928), Robert Nathan",The Bishop's Wife (1947)
"Biruma no tategoto (The Burmese Harp) (1946) (a.k.a. Harp of Burma), Michio Takeyama",Biruma no tategoto (The Burmese Harp) (1956)Biruma no tatekoto (The Burmese Harp) (1985)
"""The Biscuit Eater"" (1939), James H. Street",The Biscuit Eater (1940)  The Biscuit Eater (1972)
"The Bitch (1979), Jackie Collins",The Bitch (1979)
"[[Pascal Bruckner#Works - Lunes de fiel: roman, Seuil, 1981, .mw-parser-output cite.citation{font-style:inherit}.mw-parser-output q{quotes:""\""""""\""""""'""""'""}.mw-parser-output code.cs1-code{color:inherit;background:inherit;border:inherit;padding:inherit}.mw-parser-output .cs1-lock-free a{background:url(""//upload.wikimedia.org/wikipedia/commons/thumb/6/65/Lock-green.svg/9px-Lock-green.svg.png"")no-repeat;background-position:right .1em center}.mw-parser-output .cs1-lock-limited a,.mw-parser-output .cs1-lock-registration a{background:url(""//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Lock-gray-alt-2.svg/9px-Lock-gray-alt-2.svg.png"")no-repeat;background-position:right .1em center}.mw-parser-output .cs1-lock-subscription a{background:url(""//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Lock-red-alt-2.svg/9px-Lock-red-alt-2.svg.png"")no-repeat;background-position:right .1em center}.mw-parser-output .cs1-subscription,.mw-parser-output .cs1-registration{color:#555}.mw-parser-output .cs1-subscription span,.mw-parser-output .cs1-registration span{border-bottom:1px dotted;cursor:help}.mw-parser-output .cs1-hidden-error{display:none;font-size:100%}.mw-parser-output .cs1-visible-error{font-size:100%}.mw-parser-output .cs1-subscription,.mw-parser-output .cs1-registration,.mw-parser-output .cs1-format{font-size:95%}.mw-parser-output .cs1-kern-left,.mw-parser-output .cs1-kern-wl-left{padding-left:0.2em}.mw-parser-output .cs1-kern-right,.mw-parser-output .cs1-kern-wl-right{padding-right:0.2em}ISBN 978-2-02-005856-8|Bitter Moon]] (Lunes de fiel) (1981), Pascal Bruckner",Bitter Moon (1992)
"The Bitter Tea of General Yen (1932), Grace Zaring Stone",The Bitter Tea of General Yen (1933)
"Black Alibi (1942), Cornell Woolrich",The Leopard Man (1943)
"The Black Angel (1943), Cornell Woolrich",Black Angel (1946)
"The Black Arrow: A Tale of the Two Roses (1888), Robert Louis Stevenson",The Black Arrow (1911)The Black Arrow (1943)The Black Arrow (1973) (TV)Black Arrow (1985) (TV)Chyornaya strela (The Black Arrow) (1987)The Black Arrow (1988) (TV)
