Book,Film
"Millennium (2005–2007) (series), Stieg LarssonThe Girl with the Dragon Tattoo (2005)* The Girl Who Played with Fire (2006)** The Girl Who Kicked the Hornets' Nest (2007)",Millennium (2009–2014) (series)Swedish filmsThe Girl with the Dragon Tattoo (2009)* The Girl Who Played with Fire (2009)** The Girl Who Kicked the Hornets' Nest (2009)American filmsThe Girl with the Dragon Tattoo (2011)* The Girl Who Played with Fire (2013)** The Girl Who Kicked the Hornets' Nest (TBA 2014)
"Mine-Haha, or On the Bodily Education of Young Girls (1903), Frank Wedekind",Innocence (2004)The Fine Art of Love: Mine Ha-Ha (2005)
"The Mirror Crack'd from Side to Side (1962), Agatha Christie",The Mirror Crack'd (1980)Subho Mahurat (2003)
"Les Misérables (1862), Victor Hugo",On the Barricade (1907)Le Chemineau (1907)Les Misérables (1909)The Bishop's Candlesticks (1909)Les Misérables (1911)Les Misérables (1913)The Bishop's Candlesticks (1913)Les Misérables (1917)Les Misérables (1922)Aa Mujou (1923)Les Misérables (1925)The Bishop's Candlesticks (1929)Aa Mujou (1929)Jean Valjean (1931)Les Misérables (1934)Les Misérables (1935)Gavrosh (1937)Kyojinden (1938)Los Miserables (1943)El Boassa (1944)I Miserabili (1948)(Re-released in 1952)Les Nouveaux Misérables (1949)Re mizeraburu: Kami to Akuma (Les Misérables: Gods and Demons) (1950)Ezhai Padum Padu (1950)Beedala Patlu (1950)Les Misérables (1952)Kundan (1955)Duppathage Duka (1956)Sirakaruwa (1957)Les Misérables (1958)Os Miseráveis (1958)Jean Valjean (1961) (TV)Cosette (1961) (TV)Gavroche (1962) (TV)Jean Valjean (1963) (TV)I miserabili (1964) (TV) (mini)Les Misérables (1967) (TV) (mini)Os Miseráveis (1967)Sefiller (1967)Les Misérables (1972) (TV) (mini)Los Miserables (1973) (TV)Les Misérables (1978) (TV)Al Boasa (1978)Les Misérables (1982) (TV)(Later re-adapted as a four-part television miniseries in 1985)Les Misérables (1995)Les Misérables – The Dream Cast in Concert (1995)Les Misérables (1998)Les Misérables (2000) (TV) (mini) (Later re-adapted as an edited-down television film version the same year and dubbed into English)Les Misérables - 25th Anniversary Live from the O2 (2010)Les Misérables (2011) (TV)Les Misérables (2012)
"Misery (1987), Stephen King",Misery (1990)
"Miss Lonelyhearts (1933), Nathanael West",Advice to the Lovelorn (1933)Lonelyhearts (1958)Miss Lonelyhearts (1983) (TV)
"Moby-Dick (1851), Herman Melville",The Sea Beast (1926)Moby Dick (1956)Tom and Jerry in: Dicky Moe (1962)Moby Dick (1978)Dot and the Whale (1986)Moby Dick (1998) (TV)Moby Dick (1999)Capitaine Achab (2004)Moby Dick (2010)Moby Dick (2010) (TV) (mini)Moby Dick (2011) (TV)Age of the Dragons (2011)
"Moderato Cantabile (1958), Marguerite Duras",Seven Days... Seven Nights (1960)
"The Molly Maguires (1969), Arthur H. Lewis",The Molly Maguires (1970)
"Monkey in the Middle (1973), Robert Syd Hopkins (as Robert Rostand)",The Killer Elite (1975)
"The Monster from Earth's End (1959), Murray Leinster",The Navy vs. the Night Monsters (1966)
"Montana Rides Again (1934), Max Brand",Branded (1950)
"The Moon and Sixpence (1919), W. Somerset Maugham",The Moon and Sixpence (1942)
"Moonraker (1955), Ian Fleming",Moonraker (1979)
"The Moon-Spinners (1962), Mary Stewart",The Moon-Spinners (1964)
"The Moonstone (1868), Wilkie Collins",The Moonstone (1934)The Moonstone (1959) (TV)The Moonstone (1972) (TV)The Moonstone (1996) (TV)
"Morpho Eugenia (1992), A. S. Byatt",Angels & Insects (1996)
"The Mortal Instruments (2007–2013) (series), Cassandra Clare",The Mortal Instruments: City of Bones (2013)
"Le Morte d'Arthur (The Death of Arthur) (1485), Sir Thomas Malory",Excalibur (1981)
"The Mosquito Coast (1981), Paul Theroux",The Mosquito Coast (1986)
"Mother Carey's Chickens (1911), Kate Douglas Wiggin",Mother Carey's Chickens (1938)Summer Magic (1963)
"Mother Night (1961), Kurt Vonnegut",Mother Night (1996)
"A Mother's Gift (2001), Britney Spears and Lynne Spears",Brave New Girl (2004) (TV)
"The Moving Target (1949), Ross Macdonald (as John Macdonald)",Harper (1966)
"Mr. Hobbs' Vacation (1954), Edward Streeter",Mr. Hobbs Takes a Vacation (1962)
"Mr. Limpet (1942), Theodore Pratt",The Incredible Mr. Limpet (1964)
"Mr. Winkle Goes to War (1943), Theodore Pratt",Mr. Winkle Goes to War (1944)
"Mrs. Frisby and the Rats of NIMH (1971), Robert C. O'Brien",The Secret of NIMH (1982)* The Secret of NIMH 2: Timmy to the Rescue (1999)
"Mrs McGinty's Dead (1952), Agatha Christie",Murder Most Foul (1964)
"Mud on the Stars' (1942), William Bradford Huie",Wild River (1960)
"La Mujer de mi Hermano (My Brother's Wife) (2002), Jaime Bayly",La mujer de mi hermano (My Brother's Wife) (2005)
"A Mule for the Marquesa (1964), Frank O'Rourke",The Professionals (1966)
"Murder in Amityville (1979), Hans Holzer",Amityville II: The Possession (1982)
"Murder on the Orient Express (1934), Agatha Christie",Murder on the Orient Express (1974)Murder on the Orient Express (2001) (TV)
"Murphy’s Romance: A Novel (1980), Max Schott",Murphy's Romance (1985)
"Mute Witness (1963), Robert L. Pike (as Robert L. Fish)",Bullitt (1968)
"My Ántonia (1918), Willa Cather",My Antonia (1995) (TV)
"My Philadelphia Father (1955), Anthony Joseph Drexel Biddle, Sr. (as Cordelia Drexel Biddle)",The Happiest Millionaire (1967)
"My Friend Flicka (1941), Mary O'Hara","My Friend Flicka (1943)* Thunderhead, Son of Flicka (1945)** Green Grass of Wyoming (1948)Flicka (2006)* Flicka 2 (2010)"
"My Kingdom for a Woman (1952), Ismet Regeila",Abdulla the Great (1955)
"My Reminiscences as a Cowboy (1930), Frank Harris",Cowboy (1968)
"The Mystery of Edwin Drood (unfinished) (1870), Charles Dickens",The Mystery of Edwin Drood (1909)The Mystery of Edwin Drood (1914)The Mystery of Edwin Drood (1935)The Mystery of Edwin Drood (1993)The Mystery of Edwin Drood (2012) (TV) (mini)
"The Mysterious Island (The Mysterious Island) (1874), Jules Verne","20,000 Leagues Under the Sea (1916)The Mysterious Island (1929)Mysterious Island (1941)Mysterious Island (1951) (serial)Mysterious Island (1961)La Isla misteriosa y el capitán Nemo (L'Île mystérieuse) (1973) (TV) (mini)Mysterious Island (1982)Mysterious Island (2005)Journey 2: The Mysterious Island (2012)"
"Mystic River (2001), Dennis Lehane",Mystic River (2003)
"The Name of the Rose (1980), Umberto Eco",The Name of the Rose (1986)
"The Naked and the Dead (1948), Norman Mailer",The Naked and the Dead (1958)
"The Naked Country (1960), Morris West (as ""Michael East"")",The Naked Country (1985)
"The Naked Face (1970), Sidney Sheldon",The Naked Face (1984)
"Naked Lunch (1959), William S. Burroughs",Naked Lunch (1991)
"The Nanny (1987), Dan Greenburg",The Guardian (1990)
"The Nanny Diaries (2002), Emma McLaughlin and Nicola Kraus",The Nanny Diaries (2007)
"The Natural (1952), Bernard Malamud",The Natural (1984)
"National Velvet (1935), Enid Bagnold",National Velvet (1944)* International Velvet (1978)
"Nest in a Fallen Tree (1967), Joy Cowley",The Night Digger (1971)
"The Net (1912), Rex Beach",Fair Lady (1922)
"Nevada (1928), Zane Grey",Nevada (1927)Nevada (1935)Nevada (1944)
"Never Cry Wolf (1963), Farley Mowat",Never Cry Wolf (1983)
"The Neverending Story (1979), Michael Ende",The NeverEnding Story (1984)* The NeverEnding Story II: The Next Chapter (1990)** The NeverEnding Story III (1994)The NeverEnding Story (2014)
"Nicholas Nickleby (1838–1839) (serial), (1839) (novel), Charles Dickens",Nicholas Nickleby (1903)Nicholas Nickleby (1912)Nicholas Nickleby (1947)Nicholas Nickleby (1957)Nicholas Nickleby (1968)Nicholas Nickleby (1977) (TV) (serial)Nicholas Nickleby (1985)The Life and Adventures of Nicholas Nickleby (2001)Nicholas Nickleby (2002)
"The Nick Adams Stories (1972), Ernest Hemingway",Hemingway's Adventures of a Young Man (1962)
"Night and the City (1938), Gerald Kersh",Night and the City (1950)Night and the City (1992)
"Night Has a Thousand Eyes (1945), Cornell Woolrich (as George Hopley)",Night Has a Thousand Eyes (1948)
"The Night of the Generals (1963), Hans Hellmut Kirst",The Night of the Generals (1967)
"The Night of the Hunter (1953), Davis Grubb",The Night of the Hunter (1955)
"The Night of the Iguana (1961) (play), Tennessee Williams* Basis from One Arm and Other Stories (1967), Tennessee Williams",The Night of the Iguana (1964)
"Night Shift (1942), Maritta Wolff",The Man I Love (1947)
"Night Watch (1998), Sergey Lukyanenko",Night Watch (2004)* Day Watch (2006)
"Nightmare (1942) (a.k.a. And So to Death), Cornell Woolrich (as William Irish)",Fear in the Night (1947)Nightmare (1956)
"Nightmare Alley (1946), William Lindsay Gresham",Nightmare Alley (1947)
"Nights in Rodanthe (2002), Nicholas Sparks",Nights in Rodanthe (2008)
"Nightwing (1977), Martin Cruz Smith",Nightwing (1979)
"Nine and a Half Weeks: A Memoir of a Love Affair (1978), Elizabeth McNeill",9½ Weeks (1986)* Another 9½ Weeks (1997)** The First 9½ Weeks (1998)
"Nineteen Eighty-Four (1949), George Orwell",Nineteen Eighty-Four (1953) (TV)Nineteen Eighty-Four (1954) (TV)1984 (1956)Nineteen Eighty-Four (1984)
"The Ninth Configuration (1978), William Peter Blatty",The Ninth Configuration (1980)
"No Country for Old Men (2005), Cormac McCarthy",No Country for Old Men (2007)
"No Down Payment (1957), John McPartland",No Down Payment (1957)
"No Orchids for Miss Blandish (1939), James Hadley Chase",No Orchids for Miss Blandish (1948)The Grissom Gang (1971)La Chair de l'orchidée (1975)
"No se lo Digas a Nadie (Don't Tell Anyone) (1994), Jaime Bayly",No se lo Digas a Nadie (Don't Tell Anyone) (1998)
"Nobody Loves a Drunken Indian (1967), Clair Huffaker",The Last Warrior (1970)
"The North Star (1956), Henry Wilson Allen",Tashunga (The North Star) (1996)
"Northern Lights (1995), Philip Pullman",The Golden Compass (2007)
"Northwest Passage (1937), Kenneth Roberts",Northwest Passage (1940)
"Nostromo (1904), Joseph Conrad",Nostromo (1996) (TV) (mini)
"The Notebook (1996), Nicholas Sparks",The Notebook (2004)
"Nothing Lasts Forever (1979), Roderick Thorp",Die Hard (1988)
"Nurse Matilda (1964–1974) (series), Christianna Brand",Nanny McPhee (2005)* Nanny McPhee and the Big Bang (2010)
"Odd Man Out (1945), F. L. Green",Odd Man Out (1947)
"Odds Against Tomorrow (1958), William P. McGivern",Odds Against Tomorrow (1959)
"Odyssey (8th century BC), Homer","Ulysses (1955)The Odyssey (1987)Ulysses' Gaze (Greek: Το βλέμμα του Οδυσσέα, translit. To Vlemma tou Odyssea) (1995)The Odyssey (1997) (TV) (mini)O Brother, Where Art Thou? (2000)Odysseus and the Isle of the Mists (2007) (TV)"
"Audition (1997), Ryu Murakami",Audition (1999)
"Of Human Bondage (1915), W. Somerset Maugham",Of Human Bondage (1934)Of Human Bondage (1946)Of Human Bondage (1964)
"Of Mice and Men (1937), John Steinbeck",Of Mice and Men (1939)Of Mice and Men (1981) (TV)Of Mice and Men (1992)
"Oil! (1927), Upton Sinclair",There Will Be Blood (2007)
"The Old Curiosity Shop (1840–1841) (serial) (1841) (novel), Charles Dickens",The Old Curiosity Shop (1911)The Old Curiosity Shop (1912)The Old Curiosity Shop (1914)The Old Curiosity Shop (1921)The Old Curiosity Shop (1934)The Old Curiosity Shop (1975)The Old Curiosity Shop (1979) (TV) (mini)The Old Curiosity Shop (1984)The Old Curiosity Shop (1995) (TV)The Old Curiosity Shop (2007) (TV)
"The Old Man and the Sea (1951) (written), (1952) (published), Ernest Hemingway",The Old Man and the Sea (1958)The Old Man and the Sea (1990)The Old Man and the Sea (1999)
"Old Yeller (1956), Fred Gipson",Old Yeller (1957)* Savage Sam (1963)
"Oliver Twist (1837–1839), Charles Dickens",Oliver Twist (1909)Oliver Twist (1922)Oliver Twist (1933)Oliver Twist (1948)Oliver! (1968)Oliver Twist (1982)Oliver & Company (1988)Oliver Twist (1997)Twist (2003)Boy called Twist (2004)Oliver Twist (2005)
"Oliver's Story (1977), Erich Segal",Oliver's Story (1978)
"Oms en série (Oms by the Dozen) (1957), Stefan Wul",Fantastic Planet (1973)
