Book,Film
"Kaitei Gunkan (1902–1907), Shunro OshikawaKaitei Okoku (1931), Shigeru Komatsuzaki",Atragon (1963)Super Atragon (1995)
"Kami no Tsuki (2012), Mitsuyo Kakuta",Pale Moon (2014)
"Kenka erejii (1963), Takashi Suzuki",Fighting Elegy (1966)
"The Keys of the Kingdom (1941), A. J. Cronin",The Keys of the Kingdom (1944)
"Khamphiphaksa (The Judgment) (1981), Chart Korbjitti",Ai-Fak (2004)
"Kidnapped (1886), Robert Louis Stevenson",Kidnapped (1938)Kidnapped (1960)Kidnapped (1971)Kidnapped (1995)
"The King's Damosel (1976), Vera Chapman",Quest for Camelot (1998)
"Kings Row (1940), Henry Bellamann","Kings Row (1942), directed by Sam Wood"
"King Solomon's Mines (1885), Sir H. Rider Haggard",Allan Quatermain (1919)King Solomon's Mines (1937)King Solomon's Mines (1950)* Watusi (1959)King Solomon's Treasure (1977)King Solomon's Mines (1985)* Allan Quatermain and the Lost City of Gold (1987)King Solomon's Mines (1986)The League of Extraordinary Gentlemen (2003)King Solomon's Mines (2004) (TV) (mini)Allan Quatermain and the Temple of Skulls (2008)
"King's Ransom (1959), Evan Hunter (as Ed McBain)",High and Low (1963)
"Kings Go Forth (1956), Joe David Brown",Kings Go Forth (1958)
"Kings Row (1940), Henry Bellamann",Kings Row (1942)
"The Killer Angels (1974), Michael Shaara",Gettysburg (1993)
"The Killer Inside Me (1952), Jim Thompson",The Killer Inside Me (1976)The Killer Inside Me (2010)
"Kipps (1905), H. G. Wells",Kipps (1921)Kipps (1941)Kipps (1960) (TV) (serial)Half a Sixpence (1967)
"Kirishima, bukatsu yamerutteyo (2010), Ryo Asai",The Kirishima Thing (2012)
"Kiss of the Spider Woman (1976), Manuel Puig",Kiss of the Spider Woman (1985)
"Kiss the Girls (1995), James Patterson",Kiss the Girls (1997)
"Kiss Tomorrow Goodbye (1948), Horace McCoy",Kiss Tomorrow Goodbye (1950)
"The Klansman (1967), William Bradford Huie",The Klansman (1974)
"Kolchak: The Kolchak Papers (1970), Jeff Rice",Kolchak: The Night Stalker (1972–1976) (series)The Night Stalker (1972) (TV)* The Night Strangler (1973) (TV)** Crackle of Death (1974) (TV)*** The Demon and the Mummy (1976) (TV)
"Kowloon Tong (1997), Paul Theroux",Chinese Box (1997)
"Kuroi Ame (Black Rain) (1966), Masuji Ibuse",Black Rain (1989)
"L.A. Confidential (1990), James Ellroy",L.A. Confidential (1997)
"Lad, A Dog (1919), Albert Payson Terhune","Lad, A Dog (1963)"
"Lady Audley's Secret (1862), Mary Elizabeth Braddon",Lady Audley's Secret (1912)Lady Audley's Secret (a. k. a. Secrets of Society) (1915)Lady Audley's Secret (1920)Lady Audley's Secret (2000)
"Lady L (1958), Romain Gary",Lady L (1965)
"The Lady of the Camellias (1848), Alexandre Dumas, fils","Camille (1909)Camille (1915)Camille (1917)Camille (1921)Camille (1926) (made by Norma Talmadge)Camille (1926) (made by Ralph Barton, and starring Charlie Chaplin)Camille (1936)Camille 2000 (1969)Camille (1984)"
"The Lair of the White Worm (1911), Bram Stoker",The Lair of the White Worm (1988)
"La lampe dans la fenêtre (1972), Pauline Cadieux",Cordélia (1980)
"The Land That Time Forgot (1918), Edgar Rice Burroughs",The Caspak Trilogy (1975–1977) (series)The Land That Time Forgot (1975)* The People That Time Forgot (1977)The Land That Time Forgot (2009)
"Lassie Come-Home (1940), Eric Knight",Lassie (1943–2005) (series)Lassie Come Home (1943)* Son of Lassie (1945)** Courage of Lassie (1946)*** Hills of Home (1948)**** The Sun Comes Up (1949)***** Challenge to Lassie (1950)****** The Painted Hills (1951)******* Lassie's Great Adventure (1963)******** The Magic of Lassie (1988)********* Lassie (1994)********** Lassie (2005)
"The Last Days of Pompeii (1834), Edward Bulwer-Lytton","The Last Days of Pompeii (1900)The Last Days of Pompeii (Gli ultimi giorni di Pompei) (1908)The Last Days of Pompeii (Gli ultimi giorni di Pompei) (1913)The Last Days of Pompeii (Gli ultimi giorni di Pompei) (1926)The Last Days of Pompeii (1935)The Last Days of Pompeii (Gli ultimi giorni di Pompei, Les Derniers Jours de Pompéi) (1950)The Last Days of Pompeii (Gli ultimi giorni di Pompei) (1959)"
"The Last Detail (1970), Darryl Ponicsan",The Last Detail (1973)
"The Last Hunt (1954), Milton Lott",The Last Hunt (1956)
"The Last of the Duanes (1913) (written), (1996) (published), Zane Grey",The Last of the Duanes (1919)The Last of the Duanes (1924)The Last of the Duanes (1930)El último de los Vargas (1930)Last of the Duanes (1941)
"The Last of the Mohicans (1826), James Fenimore Cooper",The Last of the Mohicans (1912)The Last of the Mohicans (1920) (made in America)Der Letzte der Mohikaner (The Last of the Mohicans) (1920) (made in Germany)The Last of the Mohicans (1932) (serial)The Last of the Mohicans (1936)The Last of the Mohicans (1971) (TV) (serial)The Last of the Mohicans (1977) (TV)The Last of the Mohicans (1992)
"The Last Picture Show (1966), Larry McMurtry",The Last Picture Show (1971)
"The Last Ride (1996), Thomas Eidson",The Missing (2003)
"The Last Song (2009), Nicholas Sparks",The Last Song (2010)
"Last Stand at Papago Wells (1957), Louis L'Amour",Apache Territory (1958)
"Last Stand at Saber River (1959), Elmore Leonard",Last Stand at Saber River (1997)
"The Last Unicorn (1968), Peter S. Beagle",The Last Unicorn (1982)
"The Late George Apley (1937), John P. Marquand",The Late George Apley (1947)
"Lay This Laurel (1973), Lincoln Kirstein",Glory (1989)
"Layer Cake (2000), J. J. Connolly",Layer Cake (2004)
"Laura (1942) (serial), (1943) (novel), Vera Caspary",Laura (1944)Laura (1962) (TV)Laura (1968) (TV)
"Law and Order (1973), Dorothy Uhnako",Law and Order (1976) (TV)
"The Law at Randado (1954), Elmore Leonard",Border Shootout (1990)
"Law Man (1955), Lauran Paine",The Quiet Gun (1957)
"Lawyer Man (1932), Max Trell",Lawyer Man (1933)
"Leaving Cheyenne (1963), Larry McMurtry",Lovin' Molly (1974)
"The Ledger (1970), Dorothy Uhnak",Get Christie Love! (1974) (TV)
"Left Behind (1995–2007) (series), Tim LaHaye and Jerry B. Jenkins",Left Behind (2000–2005) (series)Left Behind: The Movie (2000)* Left Behind II: Tribulation Force (2002)** Left Behind: World at War (2005)
"Legion (1983), William Peter Blatty",The Exorcist III (1990)
"Lemonade Mouth (2007), Mark Peter Hughes",Lemonade Mouth (2011) (TV)* Lemonade Mouth 2 (2012) (TV)
"The Leopard (1958), Giuseppe Tomasi di Lampedusa",The Leopard (1963)
"Less Than Zero (1985), Bret Easton Ellis",Less Than Zero (1987)
"Let the Right One In (Låt den rätte komma in) (2004), John Ajvide Lindqvist",Let the Right One In (2008)Let Me In (2010)
"Letter to Five Wives (1946), John Klempner",A Letter to Three Wives (1949)
"Let Me Count the Ways (1965), Peter De Vries",How Do I Love Thee? (1970)
"Les Liaisons dangereuses (The Dangerous Liaisons) (1782), Pierre Choderlos de Laclos",Les liaisons dangereuses (1959)Les Liaisons dangereuses (1980) (TV)Dangerous Liaisons (1988)Valmont (1989)Cruel Intentions (1999)Untold Scandal (2003)Les Liaisons dangereuses (2003) (TV) (mini)Michael Lucas' Dangerous Liaisons (2005)
"The Life Before Us (a. k. a. Momo) (1975), Romain Gary (as Émile Ajar)",Madame Rosa (1977)The Life Before Us (2010) (TV)
"Life of Pi  (2001), Yann Martel",Life of Pi (film) (2012)
"The Lincoln Lawyer (2005), Michael Connelly",The Lincoln Lawyer (2011)
"A Lion Is in the Streets (1945), Adria Locke Langley",A Lion Is in the Streets (1953)
"Little Dorrit (1855–1857) (serial), (1857) (novel), Charles Dickens",Little Dorrit (1913)Little Dorrit (1920)Klein Dorrit (1934)Little Dorrit (1988)Little Dorrit (2008) (TV) (serial)
"The Lizard's Tail (1979), Marc Brandell",The Hand (1981)
"Eine Liebe in Deutschland (A Love in Germany) (1978), Rolf Hochhuth",Eine Liebe in Deutschland (A Love in Germany) (1983)
"The Life and Opinions of Tristram Shandy, Gentleman (1759–1767), Laurence Sterne",A Cock and Bull Story (2006)
"The Light in the Forest (1953), Conrad Richter",The Light in the Forest (1958)
"The Light of Western Stars (1914), Zane Grey",The Light of the Western Stars (1918)The Light of Western Stars (1925)The Light of Western Stars (1930)The Light of Western Stars (1940)
"Like a Fire is Burning (1991), Gerald N. Lund",The Work and the Glory: American Zion (2005)
"Little Caesar (1929), W. R. Burnett",Little Caesar (1931)Black Caesar (1973)* Hell Up in Harlem (1973)
"The Little Drummer Girl (1983), John le Carré",The Little Drummer Girl (1984)
"The Little White Horse (1946), Elizabeth Goudge",The Secret of Moonacre (2009)
"Live and Let Die (1954), Ian Fleming",Live and Let Die (1973)
"Live Flesh (1986), Ruth Rendell",Carne trémula (Live Flesh) (1997)
"Loaded (1995), Christos Tsiolkas",Head On (1998)
"Lobo (1900), Ernest Thompson Seton",The Legend of Lobo (1962)
"Logan's Run (1967), William F. Nolan and George Clayton Johnson",Logan's Run (1976)Logan's Run (2012)
"Lolita (1955), Vladimir Nabokov",Lolita (1962)Lolita (1997)
"The Lone Star Ranger (1915), Zane Grey",The Lone Star Ranger (1919)The Lone Star Ranger (1923)The Lone Star Ranger (1930)Lone Star Ranger (1942)
"The Long Goodbye (1953), Raymond Chandler",The Long Goodbye (1973)
"The Looters (1968), John H. Reese",Charley Varrick (1973)
"Lord Jim (1899–1900) (serial), (1900) (novel), Joseph Conrad",Lord Jim (1925)Lord Jim (1965)
"Lord of the Flies (1954), William Golding",Lord of the Flies (1963)Alkitrang dugo (1976)Lord of the Flies (1990)
"The Lord of the Rings (1953–1955) (series), J. R. R. TolkienThe Fellowship of the Ring (1953)* The Two Towers (1954)** The Return of the King (1955)",J. R. R. Tolkien's The Lord of the Rings (1978)The Lord of the Rings: The Motion Picture Trilogy (2001–2003) (series)The Lord of the Rings: The Fellowship of the Ring (2001)* The Lord of the Rings: The Two Towers (2002)** The Lord of the Rings: The Return of the King (2003)
"The Lords of Discipline (1980), Pat Conroy",The Lords of Discipline (1983)
"Lost Horizon (1933), James Hilton",Lost Horizon (1937)Lost Horizon (1973)
"The Lost Ones (1961), Donald G. Payne",The Island at the Top of the World (1974)
"The Lost Symbol (2009), Dan Brown",The Lost Symbol (2012)
"The Lost World (1912), Arthur Conan Doyle",The Lost World (1925)The Lost World (1960)The Lost World (1992)* Return to the Lost World (1992)The Lost World (1998)Sir Arthur Conan Doyle's The Lost World (1999–2002) (TV)The Lost World (2001) (TV)King of the Lost World (2005)
"The Lost World (1995), Michael Crichton",The Lost World: Jurassic Park (1997)
"Lottie and Lisa (Das doppelte Lottchen) (1949), Erich Kästner",Das doppelte Lottchen (1950)The Lullaby of Hibari (1951)Twice Upon a Time (1953)The Parent Trap (1961)* The Parent Trap II (1987) (TV)** Parent Trap III (1988) (TV)** * Parent Trap: Hawaiian Honeymoon (1989) (TV)Kuzanthaiyum Deivamum (1965)Letha Manasulu (1966)Do Kaliyan (1968)Animation Tomboy Angels (1980)Pyaar ke do Pal (1986)I and Myself: The Two Lottes (1991)Charlie & Louise - Das doppelte Lottchen (1994)khaharan-e- gharib (1995)The Parent Trap (1998)Kuch Khatti Kuch Meethi (2001)Tur & Retur (2003)
"The Loved One (1948), Evelyn Waugh",The Loved One (1965)
"Love Story (1970), Erich Segal* Oliver's Story (1977), Erich Segal",Love Story (1970)* Oliver's Story (1978)
"The Lovely Bones (2002), Alice Sebold",The Lovely Bones (2009)
"The Luck of Barry Lyndon (1844), William Makepeace Thackeray",Barry Lyndon (1975)
"The Lucky One (2008), Nicholas Sparks",The Lucky One (2012)
"El Lugar sin límites (Hell Has No Limits) (1966), José Donoso",El lugar sin límites (Hell Has No Limits) (1978)
"Lunes de fiel (1981), Pascal Bruckner",Bitter Moon (1992)
"The Lusty Men (1948), Claude Stanush",The Lusty Men (1952)
"MacKenna's Gold (1963), Henry Wilson Allen (as Heck Allen)",Mackenna's Gold (1969)
"Madame Doubtfire (a.k.a. Alias Madame Doubtfire) (1987), Anne Fine",Mrs. Doubtfire (1994)
"The Maddening (1987), Andrew Neiderman",The Maddening (1995)
"The Magic Bed Knob; or, How to Become a Witch in Ten Easy Lessons (1943), Mary Norton* Bonfires and Broomsticks (1945), Mary Norton",Bedknobs and Broomsticks (1971)
"The Magician (1908), W. Somerset Maugham",The Magician (1926)
"Magnificent Obsession (1929), Lloyd C. Douglas",Magnificent Obsession (1935)Magnificent Obsession (1954)
"Martin Eden (1909), Jack London",The Adventures of Martin Eden (1942)
"Maître du monde (Master of the World) (1904), Jules Verne",Master of the World (1961)Master of the World (1976) (TV)
"Make Room! Make Room! (1966), Harry Harrison",Soylent Green (1973)
"The Maltese Falcon (1930), Dashiell Hammett",The Maltese Falcon (1931)Satan Met a Lady (1936)The Maltese Falcon (1941)* The Black Bird (1975)
"The Man Called Noon (1970), Louis L'Amour",The Man Called Noon (1973)
"The Man in Black (1964), Marvin H. Albert",Rough Night in Jericho (1967)
"The Man in the Gray Flannel Suit (1955), Sloan Wilson",The Man in the Gray Flannel Suit (1956)
"Man on Fire (1980), A. J. Quinnell",Man on Fire (1987)Man on Fire (2004)
"The Man Who Fell to Earth (1963), Walter Travis","The Man Who Fell to Earth (1976)The Man Who Fell to Earth (1987) (TV)The Man Who Fell to Earth (future, TBA)"
"The Man Who Never Was (1954), Ewen Montagu",The Man Who Never Was (1956)
"The Man Who Watched the Trains Go By (1938), Georges Simenon","The Man Who Watched Trains Go By (UK, 1952)"
"The Man with the Golden Gun (1965), Ian Fleming",The Man with the Golden Gun (1974)
"The Man Without a Face (1972), Isabelle Holland",The Man Without a Face (1993)
"Man Without a Star (1952), Lee Dinford",Man Without a Star (1955)
"The Manchurian Candidate (1959), Richard Condon",The Manchurian Candidate (1962)The Manchurian Candidate (2004)
"Manon des Sources (part two of L'Eau des collines) (1966), Marcel Pagnol",Manon des Sources (1953)Manon des Sources (1986)
"Marnie (1961), Winston Graham",Marnie (1964)
"Mary Poppins (1934), P. L. Travers",Mary Poppins (1964)
"MASH: A Novel About Three Army Doctors (1968), Richard Hooker",MASH (1970)
"Marathon Man (1974), William Goldman",Marathon Man (1976)
"The Matarese Circle (1979), Robert Ludlum",The Matarese Circle (2012)
"Matilda (1988), Roald Dahl",Matilda (1996)
"Maurice (1971), E. M. Forster",Maurice (1987)
"The Mayor of Casterbridge (1886), Thomas Hardy",The Mayor of Casterbridge (1921)The Mayor of Casterbridge (1978) (TV)The Mayor of Casterbridge (2003) (TV)The Claim (2000)
"McTeague (1899), Frank Norris",McTeague (1916)Greed (1924)
"Me and Earl and the Dying Girl (2012), Jesse Andrews",[1]Me and Earl and the Dying Girl (2015)
"The Medusa Touch (1973), Peter Van Greenaway",The Medusa Touch (1978)
"The Memoirs of Cleopatra (1997), Margaret George",Cleopatra (1999)
"The Mephisto Waltz (1969), Fred Mustard Stewart",The Mephisto Waltz (1971)
"Mercy Island (1941), Theodore Pratt",Mercy Island (1941)
"Merton of the Movies (1919), Harry Leon Wilson",Merton of the Movies (1924)Make Me a Star (1932)Merton of the Movies (1947)
"Message in a Bottle (1998), Nicholas Sparks",Message in a Bottle (1999)
"Miami Mayhem (1960), Marvin H. Albert* The Lady in Cement (1961), Marvin H. Albert",Tony Rome (1967)* Lady in Cement (1968)
"Midnight and Jeremiah (1943), Sterling North",So Dear to My Heart (1949)
"A Midnight Clear (1982), William Wharton",A Midnight Clear (1992)
"The Midwich Cuckoos (1957), John Wyndham",Village of the Damned (1960)* Children of the Damned (1963)Village of the Damned (1995)
"Mildred Pierce (1941), James M. Cain",Mildred Pierce (1945)
"Millennium (1983), John Varley",Millennium (1989)
