Author,Title,ID
,Gerald's Game,32692
,"For Your Eyes Only (James Bond, #8)",314263
,"Tank Girl (Tank Girl, #1)",974942
,"Lake of Destiny (Celtic Legends Collection, #1)",34229254
,Uncle Tom's Cabin,46787
,Confessions Of A Dangerous Mind,537257
,The Postman Always Rings Twice,25807
,Two Suitors for Anna,30205218
,The Brass Bowl,12994692
,"Farewell, My Lovely (Philip Marlowe, #2)",2050
,The Promise Bride (Montana Brides #1),33346503
,The Magicians (The Magicians #1),6101718
,A Sound of Thunder and Other Stories,50014
,"Gift of Gold (Gift, #1)",186776
,The Devil's Arithmetic,91357
,Molly Make-Believe,13448479
,"Witches of East End (The Beauchamp Family, #1)",8113940
,"Hinder (Guardian of Monsters, #1)",35145741
,"Absolutely, Positively",113700
,The Grifters,592676
,From a Distant Star,24036088
,Double Indemnity,56616
,"Captain Alatriste (Adventures of Captain Alatriste, #1)",90411
,"Amid Stars and Darkness (The Xenith Trilogy, #1)",30063453
,Cash,35488
,Trilby,788085
,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",18243700
,"Austenland (Austenland, #1)",248483
,"Empire of Storms (Throne of Glass, #5)",28260587
,The Mayor of Casterbridge,56759
,The Diary of a Nobody,535856
,The Tailor of Panama,45783
,"Queen of Shadows (Throne of Glass, #4)",18006496
,The Enchanted April,3077
,The Russia House,270521
,"Heir of Fire (Throne of Glass, #3)",20613470
,The Comedians,133399
,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",16096824
,Fanny Herself,967432
,"Crown of Midnight (Throne of Glass, #2)",17167166
,The Virginian: A Horseman of the Plains,169751
,The Users,3274499
,Celebrity,411167
,The Burden of Proof,4035
,The Bridge of San Luis Rey,92508
,"Presumed Innocent (Kindle County, #1)",425029
,Love Takes Wing (Love Comes Softly #7),65471
,The Love Machine,826542
,Love Finds a Home (Love Comes Softly #8),65482
,"Appaloosa (Virgil Cole & Everett Hitch, #1)",297478
,Holy Bible: King James Version,1923820
,Silas Marner,54539
,Far From the Madding Crowd,31463
,Little House in the Big Woods (Little House #1),8337
,Bastard Out of Carolina,25354
,The Glass Menagerie,92517
,The Portrait of a Lady,264
,Love's Unending Legacy (Love Comes Softly #5),65474
,The Pearl,5308
,"Farmer Boy (Little House, #3)",8252
,The Miracle Worker,22327
,Looking for Mr. Goodbar,166982
,Love's Unfolding Dream (Love Comes Softly #6),65470
,Cat on a Hot Tin Roof,72159
,Loretta Lynn: Coal Miner's Daughter,218215
,Black Like Me,42603
,Our Town,205476
,"The First Four Years  (Little House, #9)",8296
,"Little Town on the Prairie  (Little House, #7)",8253
,"On the Banks of Plum Creek  (Little House, #4)",7882
,Airport,124918
,Confessions of an Ugly Stepsister,18943
,"These Happy Golden Years (Little House, #8)",77770
,Pronto,85211
,The Last Convertible,111831
,Raylan,12037108
,"Fantômas (Fantômas, #1)",657537
,"The Hot Kid (Carl Webster, #1)",85207
,Going All the Way,1408850
,"By the Shores of Silver Lake  (Little House, #5)",8248
,The Taming of the Shrew,47021
,Maximum Bob,288957
,"Pleading Guilty (Kindle County, #3)",4684
