Author,Title,ID
,The Hotel New Hampshire,11768
,"The Pillars of the Earth (Kingsbridge, #1)",5043
,"A Game of Thrones (A Song of Ice and Fire, #1)",13496
,Othello,12996
,Shutter Island,21686
,"Journey to the Center of the Earth (Extraordinary Voyages, #3)",32829
,"Mockingjay (The Hunger Games, #3)",7260188
,"Murder on the Orient Express (Hercule Poirot, #10)",16304
,Dolores Claiborne,10625
,Shopgirl,10873
,The Lorax,7784
,"The Bourne Ultimatum (Jason Bourne, #3)",31259
,Blindness,2526
,"2001: A Space Odyssey (Space Odyssey, #1)",70535
,"The Good Earth (House of Earth, #1)",1078
,Love in the Time of Cholera,9712
,The Diary of a Young Girl,48855
,Dreamcatcher,11570
,In Cold Blood,168642
,The Unbearable Lightness of Being,9717
,Choke,29059
,"The Power of One (The Power of One, #1)",122
,Snow Falling on Cedars,77142
,American Psycho,28676
,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",140225
,Horton Hears a Who!,7779
,"Beautiful Creatures (Caster Chronicles, #1)",6304335
,"Kiss the Girls (Alex Cross, #2)",13148
,Nights in Rodanthe,15926
,Heidi,93
,"A Time to Kill (Jake Brigance, #1)",32542
,The Hours,11899
,House of Sand and Fog,359770
,The Running Man,11607
,"The Bourne Supremacy (Jason Bourne, #2)",15769
,The Iliad,1371
,A Prayer for Owen Meany,4473
,"Hannibal (Hannibal Lecter, #3)",32418
,The Boy in the Striped Pajamas,39999
,A Midsummer Night's Dream,1622
,The Exorcist,179780
,The English Patient,11713
,Corelli's Mandolin,3388
,Battlefield Earth: A Saga of the Year 3000,769658
,"The Hunt for Red October (Jack Ryan Universe, #4)",19691
,The Bonfire of the Vanities,2666
,Speak,439288
,Macbeth,8852
,"Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)",9822
,Cloudy With a Chance of Meatballs,8073
,The Grapes of Wrath,18114322
,Persuasion,2156
,"Clear and Present Danger (Jack Ryan Universe, #6)",32669
,"The Spiderwick Chronicles Box Set (The Spiderwick Chronicles, #1-5)",103386
,"The Indian in the Cupboard (The Indian in the Cupboard, #1)",125404
,"Beastly (Beastly, #1; Kendra Chronicles, #1)",544891
,Nick & Norah's Infinite Playlist,25373
,The Adventures of Huckleberry Finn,2956
,Needful Things,107291
,"A Wizard of Earthsea (Earthsea Cycle, #1)",13642
,The Book Thief,19063
,Slaughterhouse-Five,4981
,"Girl, Interrupted",68783
,Flowers for Algernon,18373
,Fear and Loathing in Las Vegas,7745
,The Phantom of the Opera,480204
,"Jumper (Jumper, #1)",47970
,And Then There Were None,16299
,Peter Pan,34268
,The Children of Men,41913
,"The Maze Runner (The Maze Runner, #1)",6186357
,"Pillar of Light (The Work and the Glory, #1)",625554
,The Road,6288
,The Rainmaker,5349
,Breakfast at Tiffany's,251688
,"The Second Summer of the Sisterhood (Sisterhood, #2)",5454
,Oliver Twist,18254
,"Vampire Academy (Vampire Academy, #1)",31126769
,The Fault in Our Stars,11870085
,Alice in Wonderland,13023
,The Thorn Birds,3412
,Brave New World,5129
,"Practical Magic (Practical Magic, #2)",22896
,Into the Wild,1845
,"The Bone Collector (Lincoln Rhyme, #1)",2373
,The Island of Dr. Moreau,29981
,The Andromeda Strain,7670
,Contact,61666
,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,514313
,The Thief Lord,113304
,"One for the Money (Stephanie Plum, #1)",6853
,The Amityville Horror,293101
,Crossing the Seas: A Diary of My Thoughts,16243767
,Fast Food Nation: The Dark Side of the All-American Meal,1097
,Mystic River,21671
,The Reader,101299
,The Perks of Being a Wallflower,22628
,Watchers,32423
,The Ruins,21726
,Northanger Abbey,50398
,The Hotel New Hampshire,11768
,"The Pillars of the Earth (Kingsbridge, #1)",5043
,"A Game of Thrones (A Song of Ice and Fire, #1)",13496
,Othello,12996
,Shutter Island,21686
,"Journey to the Center of the Earth (Extraordinary Voyages, #3)",32829
,"Mockingjay (The Hunger Games, #3)",7260188
,"Murder on the Orient Express (Hercule Poirot, #10)",16304
,Dolores Claiborne,10625
,Shopgirl,10873
,The Lorax,7784
,"The Bourne Ultimatum (Jason Bourne, #3)",31259
,Blindness,2526
,"2001: A Space Odyssey (Space Odyssey, #1)",70535
,"The Good Earth (House of Earth, #1)",1078
,Lonesome Dove,256008
,Cheaper by the Dozen,764903
,Anna Karenina,15823480
,The Fountainhead,2122
,Different Seasons,39662
,A Christmas Carol,5326
,"Relic (Pendergast, #1)",67035
,Let the Right One In,943402
,Hearts in Atlantis,11602
,"Insurgent (Divergent, #2)",11735983
,The French Lieutenant's Woman,56034
,Papillon,6882
,Even Cowgirls Get the Blues,7572
,"Forrest Gump (Forrest Gump, #1)",186190
,World War Z: An Oral History of the Zombie War,8908
,The Stepford Wives,52350
,The Giver,3636
,Alive: The Story of the Andes Survivors,401514
,"Love Story (Love Story, #1)",73968
,"The Borrowers (The Borrowers, #1)",348573
,Never Let Me Go,6334
,Strip Tease,13074
,"All the Pretty Horses (The Border Trilogy, #1)",469571
