Author,Title,ID
,"Hangman's Curse (Veritas Project, #1)",327684
,The Dive From Clausen's Pier,16059
,The Caine Mutiny,368772
,Vanishing Acts,14865
,Johnny Mnemonic,313998
,The Guardian,15925
,The Thin Man,80616
,The Complete Persepolis,991197
,"Fallen (Fallen, #1)",6487308
,"The Long Winter (Little House, #6)",8282
,"The Mortal Instruments, the Complete Collection: City of Bones; City of Ashes; City of Glass; City of Fallen Angels; City of Lost Souls; City of Heavenly Fire",22892113
,Birdsong,6259
,Night Shift,10628
,Civil War: A Marvel Comics Event,91714
,Her Fearful Symmetry,6202342
,Starman,2519686
,Rising Sun,7668
,Arthur and the Invisibles,1159302
,Batman: The Killing Joke,96358
,The Field Guide (The Spiderwick Chronicles #1),18875096
,"My Friend Flicka (Flicka, #1)",164542
,"Adolf Hitler: My Part in His Downfall (War Memoirs, #1)",330919
,"Legend of the Guardians: The Owls of Ga'hoole (Guardians of Ga'hoole, #1-3)",8728427
,"Mandie and the Cherokee Legend (Mandie, #2)",508249
,"The Cater Street Hangman (Charlotte & Thomas Pitt, #1)",853180
,Beast,825282
,The Sound and the Fury,10975
,"The Talented Mr. Ripley (Ripley, #1)",156024
,Don Quixote,3836
,Nicholas and Alexandra,133486
,"Mandie and the Secret Tunnel (Mandie, #1)",156171
,"The Last Dragonslayer (The Last Dragonslayer, #1)",13316328
,Kim,3771126
,The Whale Rider,133497
,"The Hound of the Baskervilles (Sherlock Holmes, #5)",8921
,The Man Who Fell to Earth,396329
,The Secret Of NIMH,417644
,Me and Earl and the Dying Girl,12700353
,"Martin the Warrior (Redwall, #6)",263984
,Escape from Mr. Lemoncello's Library (Mr. Lemoncello's Library #1),16054808
,Jurassic Park III,1668267
,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",10335318
,Robinson Crusoe,2074521
,Fantastic Beasts and Where to Find Them,16122237
,Indiana Jones and the Kingdom of the Crystal Skull (Indiana Jones #4),2193679
,The Old Man and the Sea,2165
,Mother Night,9592
,Batman: The Long Halloween,106069
,"I, Claudius (Claudius, #1)",18765
,A Christmas Carol and Other Christmas Writings,5338
,Riding the Rap,166857
,Of Human Bondage,31548
,The Golden Chance,186856
,The Illustrated Mum,511684
,"X-Men: God Loves, Man Kills",299947
,Stay Close,11737271
,"Dragon Ball Z, Vol. 1: The World's Greatest Team (Dragon Ball Z, #1)",431806
,Off Season,10180402
,"Be Cool (Chili Palmer, #2)",288973
,Zathura,55749
,Riding in Cars with Boys: Confessions of a Bad Girl Who Makes Good,139668
,Freaky Deaky,288965
,Enemy Mine,1534509
,Christy,229123
,"Bunnicula Strikes Again! (Bunnicula, #6)",281236
,On the Night of the Seventh Moon,311034
,First Blood,113110
,"Rich Man, Poor Man",315519
,Maneater,258950
,Mirror Image,685788
,"Assassin's Apprentice (Farseer Trilogy, #1)",45107
,The Autobiography of Malcolm X,92057
,"From Russia With Love (James Bond, #5)",3764
,Alien Nation,35180
,The Vow,15756702
,Edge of Tomorrow,21926692
,Waking the Dead,219926
,The Bad Mother's Handbook,1233204
,Another Day in Paradise,7840
,Le Chateau De Ma Mere,1030803
,Galore,6276276
,Killing Me Softly,320197
,The House on the Gulf,415132
,Marnie,7147962
,Breathe: A Ghost Story,6339961
,The Elementary Particles,58314
,Alice in Verse: The Lost Rhymes of Wonderland,6999049
,The Kindness of Strangers,15655
,The Informant,6720836
,Object of My Affection,324107
,Damnation Alley,239919
,Enchantment,7973
,مالك الحزين,3768690
,Romanzo criminale,9553334
,Transformers: The Veiled Threat,6047820
,Girl,7247696
,The Night Watch,550720
,Nightfall,99245
,Tempelriddaren,152300
,The City of Joy,356525
