Author,Title,ID
,Alien³,939556
,The Westing Game,902
,Georgiana: Duchess of Devonshire,319300
,Constantine,1138475
,Strangers When We Meet,1750760
,Wokini: A Lakota Journey to Happiness and Self-Understanding,15930
,Gods in Alabama,223462
,"The Mystery of the Blue Train (Hercule Poirot, #6)",16335
,"Howliday Inn (Bunnicula, #2)",443658
,Cleopatra: A Life,7968243
,Coriolanus,108171
,Anywhere But Here,6473813
,The Painted Veil,99664
,"Death in the Clouds (Hercule Poirot, #12)",16326
,Sink the Bismarck,10423798
,Henry V,37526
,The Shoemaker's Wife,13344919
,A Widow for One Year,4659
,The Good Mother,46685
,Pretty Good for a Girl: The Autobiography of a Snowboarding Pioneer,1047338
,"After the Funeral (Hercule Poirot, #31)",527744
,"The Celery Stalks at Midnight (Bunnicula, #3)",183436
,Danny the Champion of the World,1121503
,Poems,51881
,"The Thirteen Problems (Miss Marple, #2)",31309
,"Nighty-Nightmare (Bunnicula, #4)",291894
,1776,1067
,The Jungle Books,41684
,Hellblazer: Rake at the Gates of Hell,196388
,"The Green Mile, Part 3: Coffey's Hands",228198
,"Return to Howliday Inn (Bunnicula, #5)",352322
,Captain Blood,158446
,"Song of Susannah (The Dark Tower, #6)",5093
,Goodnight Nobody,14756
,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",25019
,BUtterfield 8,49715
,"Wolves of the Calla (The Dark Tower, #5)",4978
,The Woods,43931
,"The Day of Reckoning (Star Wars: Jedi Apprentice, #8)",320407
,"If You're Reading This, It's Too Late (Secret, #2)",3359940
,Team of Rivals: The Political Genius of Abraham Lincoln,2199
,Ninety-two in the Shade,51598
,Desert of the Heart,23441104
,"Wizard and Glass (The Dark Tower, #4)",5096
,Don't Move,472800
,Reckless,247369
,"The Uncertain Path (Star Wars: Jedi Apprentice, #6)",359821
,How to Eat Fried Worms,322351
,"The Waste Lands (The Dark Tower, #3)",34084
,"The Captive Temple (Star Wars: Jedi Apprentice, #7)",359786
,The Emperor of All Maladies: A Biography of Cancer,7170627
,Racso and the Rats of NIMH,24703
,"Born in Fire (Born In Trilogy, #1)",114145
,"The Defenders of the Dead (Star Wars: Jedi Apprentice, #5)",359819
,"Angel Sanctuary, Vol. 1",74952
,Founding Brothers: The Revolutionary Generation,7493
,The Luzhin Defense,8153
,Carrie / 'Salem's Lot / The Shining,5417
,Little Women,15796908
,"The Mark of the Crown (Star Wars: Jedi Apprentice, #4)",20086
,Batman Forever: The Official Comic Adaptation of Motion Picture,3118734
,The Sea Wolf,43049
,"The Hidden Past (Star Wars: Jedi Apprentice, #3)",263875
,"Stalingrad: The Fateful Siege, 1942–1943",542389
,Arch of Triumph: A Novel of a Man Without a Country,672948
,"The Man in the Iron Mask (The D'Artagnan Romances, #3.4)",54499
,"The Green Mile, Part 1: The Two Dead Girls",92227
,The Woman Destroyed,141421
,"The Dark Rival (Star Wars: Jedi Apprentice, #2)",359816
,"Astonishing X-Men, Volume 1: Gifted",31979
,Texasville,54814
,Jarhead: A Marine's Chronicle of the Gulf War and Other Battles,907970
,"Annihilation (Southern Reach, #1)",17934530
,"White Lies (Arcane Society, #2)",29617
,"Superman/Batman, Vol. 1: Public Enemies",57890
,Benjamin Franklin: An American Life,10883
,The Ox-Bow Incident,46212
,The Bridge Over the River Kwai,1351174
,"The Darkest Minds (The Darkest Minds, #1)",10576365
,"Superman/Batman, Vol. 2: Supergirl",107022
,52 Pickup,288995
,All Night Long,29616
,"Spawn, Book 1: Beginnings",287395
,A World Lit Only by Fire: The Medieval Mind and the Renaissance: Portrait of an Age,19802
,Hombre,835203
,"Heir to the Empire (Star Wars: The Thrawn Trilogy, #1)",216443
,Ravished,367689
,"The Losers Omnibus, Vol. 1",7688925
,"The Last Days of Disco, with Cocktails at Petrossian Afterward",120242
,"Galileo's Daughter: A Historical Memoir of Science, Faith and Love",18646
,Arrowsmith,11389
,The Blind Assassin,78433
,One-Hit Wonder,161345
,Madame Kitty,6369438
,"On Her Majesty's Secret Service (James Bond, #11)",3762
,The Crush,96262
,Atlas Shrugged,662
,Mr. and Mrs. Bo Jo Jones,911892
,The Dying Animal,834502
,"Enchanter (Giver of Life Trilogy, #1)",35159667
