The Americanization of Emily ,"1959), William Bradford Huie",,,,,,,,,,,,,,,,,,,,,,,,,,
Amerika ,"1927), Franz Kafka",,,,,,,,,,,,,,,,,,,,,,,,,,
Les amitiés particulières ,This Special Friendship) ,"1943), Roger Peyrefitte",,,,,,,,,,,,,,,,,,,,,,,,,
The Amityville Horror ,"1977), Jay Anson",,,,,,,,,,,,,,,,,,,,,,,,,,
El Amor infiel ,The Unfaithful Love) ,"1970), Mario David",,,,,,,,,,,,,,,,,,,,,,,,,
Amos Judd ,"1895), John Ames Mitchell",,,,,,,,,,,,,,,,,,,,,,,,,,
Amu ,"2005), Shonali Bose",,,,,,,,,,,,,,,,,,,,,,,,,,
La Anam ,Sleepless) ,"1969), Ihsan Abdel Quddous",,,,,,,,,,,,,,,,,,,,,,,,,
Anatomy of a Murder ,"1958), John D. Voelker ",as Robert Traver),,,,,,,,,,,,,,,,,,,,,,,,,
And Now Tomorrow ,"1942), Rachel Field",,,,,,,,,,,,,,,,,,,,,,,,,,
And Then There Were None ,"1939), Agatha Christie",,,,,,,,,,,,,,,,,,,,,,,,,,
The Anderson Tapes ,"1969), Lawrence Sanders",,,,,,,,,,,,,,,,,,,,,,,,,,
Andromeda: A Space-Age Tale ,"1957), Ivan Yefremov",,,,,,,,,,,,,,,,,,,,,,,,,,
The Andromeda Strain ,"1969), Michael Crichton",,,,,,,,,,,,,,,,,,,,,,,,,,
Angel ,"1957), Elizabeth Taylor",,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Square ,"1987), Brian Doyle",,,,,,,,,,,,,,,,,,,,,,,,,,
Angélique ,1957–2012) ,"series), Anne Golon and Serge Golon",,,,,,,,,,,,,,,,,,,,,,,,,
Angels & Demons ,"2000), Dan Brown",,,,,,,,,,,,,,,,,,,,,,,,,,
Anglo-Saxon Attitudes ,"1956), Angus Wilson",,,,,,,,,,,,,,,,,,,,,,,,,,
The Angry Hills ,"1955), Leon Uris",,,,,,,,,,,,,,,,,,,,,,,,,,
Die Angst des Tormanns beim Elfmeter ,The Goalkeeper's Fear of the Penalty) ,"1970), Peter Handke",,,,,,,,,,,,,,,,,,,,,,,,,
Un animal doué de raison ,A Sentient Animal) ,"1967), Robert Merle",,,,,,,,,,,,,,,,,,,,,,,,,
Animal Farm ,"1945), George Orwell",,,,,,,,,,,,,,,,,,,,,,,,,,
Anna and the King of Siam ,"1944), Margaret Landon",,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Karenina ,1873–1887) ,"serial), ",1888) ,"novel), Leo Tolstoy",,,,,,,,,,,,,,,,,,,,,,,
Anna to the Infinite Power ,"1979), Mildred Ames",,,,,,,,,,,,,,,,,,,,,,,,,,
Anne of Avonlea ,"1909), Lucy Maud Montgomery",,,,,,,,,,,,,,,,,,,,,,,,,,
Anne of Green Gables ,"1908), Lucy Maud Montgomery",,,,,,,,,,,,,,,,,,,,,,,,,,
L'Année des méduses ,The Year of the Jellyfish) ,"1983), Christopher Frank",,,,,,,,,,,,,,,,,,,,,,,,,
The Anointed ,"1937), Clyde Brion Davis",,,,,,,,,,,,,,,,,,,,,,,,,,
The Antagonists ,"1971), Ernest K. Gann",,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Adverse ,"1933), Hervey Allen",,,,,,,,,,,,,,,,,,,,,,,,,,
Antikiller ,Антикиллер) ,"1999), Daniil Koretsky",,,,,,,,,,,,,,,,,,,,,,,,,
Antonieta ,"1978), Andrés Henestrosa",,,,,,,,,,,,,,,,,,,,,,,,,,
Apache Rising ,"1957), Marvin H. Albert",,,,,,,,,,,,,,,,,,,,,,,,,,
A Job for Jenny ,1945) ,"a. k. a. A Job for Jenny), Faith Baldwin",,,,,,,,,,,,,,,,,,,,,,,,,
The Apocalypse Watch ,"1995), Robert Ludlum",,,,,,,,,,,,,,,,,,,,,,,,,,
The Apple Dumpling Gang ,"1971), Jack Bickham",,,,,,,,,,,,,,,,,,,,,,,,,,
Appointment with Death ,"1938), Agatha Christie",,,,,,,,,,,,,,,,,,,,,,,,,,
Appointment with Venus ,"1951), Jerrard Tickell",,,,,,,,,,,,,,,,,,,,,,,,,,
The Apprenticeship of Duddy Kravitz ,"1959), Mordecai Richler",,,,,,,,,,,,,,,,,,,,,,,,,,
Armageddon 2419 A.D. ,"1928), Philip Francis Nowlan* The Airlords of Han ","1929), Philip Francis Nowlan",,,,,,,,,,,,,,,,,,,,,,,,,
L'Armée des ombres ,The Army of Shadows) ,"1943), Joseph Kessel",,,,,,,,,,,,,,,,,,,,,,,,,
Arouse and Beware ,"1936), MacKinlay Kantor",,,,,,,,,,,,,,,,,,,,,,,,,,
Arrowsmith ,"1925), Sinclair Lewis",,,,,,,,,,,,,,,,,,,,,,,,,,
El Asalto ,The Robbery) ,"1956), Enrique Silberstein",,,,,,,,,,,,,,,,,,,,,,,,,
Ascenseur pour l'échafaud ,Lift to the Scaffold) ,"1951), Noël Calef",,,,,,,,,,,,,,,,,,,,,,,,,
Ask the Dust ,"1939), John Fante",,,,,,,,,,,,,,,,,,,,,,,,,,
Asking for Trouble ,"2001), Elizabeth Young",,,,,,,,,,,,,,,,,,,,,,,,,,
The Asphalt Jungle ,"1949), W. R. Burnett",,,,,,,,,,,,,,,,,,,,,,,,,,
"The Assassination Bureau, Ltd ","1963), Jack London",,,,,,,,,,,,,,,,,,,,,,,,,,
The Assassination of Jesse James by the Coward Robert Ford ,"1983), Ron Hansen",,,,,,,,,,,,,,,,,,,,,,,,,,
L'Assommoir ,"1877), Émile Zola",,,,,,,,,,,,,,,,,,,,,,,,,,
Assunta Spina ,"1908), Salvatore Di Giacomo",,,,,,,,,,,,,,,,,,,,,,,,,,
The Astronauts ,"1961), Stanisław Lem",,,,,,,,,,,,,,,,,,,,,,,,,,
Asylum ,"1996), Patrick McGrath",,,,,,,,,,,,,,,,,,,,,,,,,,
At Play in the Fields of the Lord ,"1965), Peter Matthiessen",,,,,,,,,,,,,,,,,,,,,,,,,,
At the Earth's Core ,1914) ,"serial), ",1922) ,"novel), Edgar Rice Burroughs",,,,,,,,,,,,,,,,,,,,,,,
Atlantis ,"1912), Gerhart Hauptmann",,,,,,,,,,,,,,,,,,,,,,,,,,
Atonement ,"2001), Ian McEwan",,,,,,,,,,,,,,,,,,,,,,,,,,
Audrey Rose ,"1975), Frank De Felitta",,,,,,,,,,,,,,,,,,,,,,,,,,
The Auction Block ,"1914), Rex Beach",,,,,,,,,,,,,,,,,,,,,,,,,,
Auntie Mame ,"1955), Patrick Dennis",,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon High ,"2005), Meg Cabot",,,,,,,,,,,,,,,,,,,,,,,,,,
The Aviator ,"1981), Ernest K. Gann",,,,,,,,,,,,,,,,,,,,,,,,,,
Away All Boats ,"1953), Kenneth M. Dodson",,,,,,,,,,,,,,,,,,,,,,,,,,
An Awfully Big Adventure ,1989) Beryl Bainbridge,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ax ,"1997), Donald E. Westlake",,,,,,,,,,,,,,,,,,,,,,,,,,
Ayat-Ayat Cinta ,The Verses of Love) ,"2005), Habiburrahman El Shirazy",,,,,,,,,,,,,,,,,,,,,,,,,
Baby Love ,"1968), Tina Chad Christian",,,,,,,,,,,,,,,,,,,,,,,,,,
Babylon Babies ,"1999), Maurice Georges Dantec",,,,,,,,,,,,,,,,,,,,,,,,,,
Back Street ,"1931), Fannie Hurst",,,,,,,,,,,,,,,,,,,,,,,,,,
Back When We Were Grownups ,"2001), Anne Tyler",,,,,,,,,,,,,,,,,,,,,,,,,,
Background to Danger ,1937) ,"a. k. a. Uncommon Danger), Eric Ambler",,,,,,,,,,,,,,,,,,,,,,,,,
Bad Girl ,"1928), Viña Delmar",,,,,,,,,,,,,,,,,,,,,,,,,,
The Bad Seed ,"1954), William March ",novel)* The Bad Seed ,"1954), play adaptation by Maxwell Anderson",,,,,,,,,,,,,,,,,,,,,,,,
Baise-moi,"1999), Virginie Despentes",,,,,,,,,,,,,,,,,,,,,,,,,,
The Bait ,"1968), Dorothy Uhnak",,,,,,,,,,,,,,,,,,,,,,,,,,
The Ballad of Cat Ballou ,"1956), Roy Chanslor",,,,,,,,,,,,,,,,,,,,,,,,,,
The Ballad of the Flim-Flam Man ,"1965), Guy Owen",,,,,,,,,,,,,,,,,,,,,,,,,,
The Ballad of the Running Man ,"1963), Shelley Smith",,,,,,,,,,,,,,,,,,,,,,,,,,
Balzac et la petite tailleuse chinoise ,Balzac and the Little Chinese Seamstress) ,"2000), Dai Sijie",,,,,,,,,,,,,,,,,,,,,,,,,
Band of Angels ,"1955), Robert Penn Warren",,,,,,,,,,,,,,,,,,,,,,,,,,
Bank Shot ,"1972), Donald E. Westlake",,,,,,,,,,,,,,,,,,,,,,,,,,
Banner in the Sky ,"1900), James Ramsey Ullman",,,,,,,,,,,,,,,,,,,,,,,,,,
The Barefoot Mailman ,"1943), Theodore Pratt",,,,,,,,,,,,,,,,,,,,,,,,,,
Basil of Baker Street ,"1958), Eve Titus",,,,,,,,,,,,,,,,,,,,,,,,,,
Bastard Out of Carolina ,"1992), Dorothy Allison",,,,,,,,,,,,,,,,,,,,,,,,,,
Battle Cry ,"1953), Leon Uris",,,,,,,,,,,,,,,,,,,,,,,,,,
The Battle of the Villa Fiorita ,"1963), Rumer Godden",,,,,,,,,,,,,,,,,,,,,,,,,,
Battle Royale ,"1999), Koushun Takami",,,,,,,,,,,,,,,,,,,,,,,,,,
Battlefield Earth ,"1982), L. Ron Hubbard",,,,,,,,,,,,,,,,,,,,,,,,,,
Be Cool ,"1999), Elmore Leonard",,,,,,,,,,,,,,,,,,,,,,,,,,
Be Ready with Bells and Drums ,"1961), Elizabeth Kata",,,,,,,,,,,,,,,,,,,,,,,,,,
"Be Still, My Love ","1947), June Truesdell",,,,,,,,,,,,,,,,,,,,,,,,,,
The Beach ,"1996), Alex Garland",,,,,,,,,,,,,,,,,,,,,,,,,,
Beaches ,"1985), Iris Rainer Dart",,,,,,,,,,,,,,,,,,,,,,,,,,
The Beardless Warriors ,"1960), Richard Matheson",,,,,,,,,,,,,,,,,,,,,,,,,,
The Beast ,"1991), Peter Benchley",,,,,,,,,,,,,,,,,,,,,,,,,,
The Beast Master ,"1959), Andre Norton",,,,,,,,,,,,,,,,,,,,,,,,,,
The Beast Must Die ,"1938), Cecil Day-Lewis ",as Nicholas Blake),,,,,,,,,,,,,,,,,,,,,,,,,
The Beast Within ,"1981), Edward Levy",,,,,,,,,,,,,,,,,,,,,,,,,,
Beat the Devil ,"1951), Claud Cockburn ",as James Helvick),,,,,,,,,,,,,,,,,,,,,,,,,
Beau Brocade ,"1907), Baroness Emmuska Orczy",,,,,,,,,,,,,,,,,,,,,,,,,,
Beau Geste ,"1924), P. C. Wren",,,,,,,,,,,,,,,,,,,,,,,,,,
Beautiful Creatures ,"2009), Kami Garcia and Margaret Stohl",,,,,,,,,,,,,,,,,,,,,,,,,,
Bedelia ,"1945), Vera Caspary",,,,,,,,,,,,,,,,,,,,,,,,,,
Bee Season ,"2000), Myla Goldberg",,,,,,,,,,,,,,,,,,,,,,,,,,
Beer and Blood: The Story of a Couple o' Wrong Guys ,"1930), John Bright and Kubec Glasmon",,,,,,,,,,,,,,,,,,,,,,,,,,
Before the Fact ,"1932), Anthony Berkeley ",as Francis Iles),,,,,,,,,,,,,,,,,,,,,,,,,
Behind That Curtain ,"1928), Earl Derr Biggers",,,,,,,,,,,,,,,,,,,,,,,,,,
Being There ,"1971), Jerzy Kosinski",,,,,,,,,,,,,,,,,,,,,,,,,,
Bel Ami ,"1885), Guy de Maupassant",,,,,,,,,,,,,,,,,,,,,,,,,,
Belle de Jour ,"1928), Joseph Kessel",,,,,,,,,,,,,,,,,,,,,,,,,,
Belli Moda ,Silver Cloud) ,"1961), Anasuya Shankar",,,,,,,,,,,,,,,,,,,,,,,,,
Bellman and True ,"1975), Desmond Lowden",,,,,,,,,,,,,,,,,,,,,,,,,,
Beloved ,"1987), Toni Morrison",,,,,,,,,,,,,,,,,,,,,,,,,,
Belphégor ,"1927), Arthur Bernède",,,,,,,,,,,,,,,,,,,,,,,,,,
Ben-Hur: A Tale of the Christ ,"1880), Lew Wallace",,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Blake ,"1941), Edison Marshall",,,,,,,,,,,,,,,,,,,,,,,,,,
Benzina ,Gasoline) ,"1998), Elena Stancanelli",,,,,,,,,,,,,,,,,,,,,,,,,
Beowulf ,"Eighth to Eleventh Century), unknown",,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin Alexanderplatz ,"1929), Alfred Döblin",,,,,,,,,,,,,,,,,,,,,,,,,,
La bestia nel cuore ,"2003), Cristina Comencini",,,,,,,,,,,,,,,,,,,,,,,,,,
La Bête humaine ,"1890), Émile Zola",,,,,,,,,,,,,,,,,,,,,,,,,,
The Betsy ,"1971), Harold Robbins",,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond the Forest: The Story of a Man and Woman Destroyed by Love ,"1948), Stuart D. Engstrand",,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond This Place ,"1953), A. J. Cronin",,,,,,,,,,,,,,,,,,,,,,,,,,
The BFG ,"1982), Roald Dahl",,,,,,,,,,,,,,,,,,,,,,,,,,
Bhowani Junction ,"1954), John Masters",,,,,,,,,,,,,,,,,,,,,,,,,,
Bid Time Return ,"1975), Richard Matheson",,,,,,,,,,,,,,,,,,,,,,,,,,
The Beginning and the End ,"بداية ونهاية, Bidaya wa Nihaya) ","1960), Naguib Mahfouz",,,,,,,,,,,,,,,,,,,,,,,,,
The Big Bounce ,1966) ,written) ,1969) ,"published), Elmore Leonard",,,,,,,,,,,,,,,,,,,,,,,
The Big Clock ,"1946), Kenneth Fearing",,,,,,,,,,,,,,,,,,,,,,,,,,
Big Fish: A Novel of Mythic Proportions ,"1998), Daniel Wallace",,,,,,,,,,,,,,,,,,,,,,,,,,
The Big Fisherman ,"1948), Lloyd C. Douglas",,,,,,,,,,,,,,,,,,,,,,,,,,
The Big Heat ,"1952), William P. McGivern",,,,,,,,,,,,,,,,,,,,,,,,,,
Big Red ,"1945), Jim Kjelgaard",,,,,,,,,,,,,,,,,,,,,,,,,,
The Big Sleep ,"1939), Raymond Chandler",,,,,,,,,,,,,,,,,,,,,,,,,,
Big Trouble ,"1999), Dave Barry",,,,,,,,,,,,,,,,,,,,,,,,,,
Biggles ,1932–1968) ,"series), W. E. Johns",,,,,,,,,,,,,,,,,,,,,,,,,
Billion-Dollar Brain ,"1966), Len Deighton",,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Bathgate ,"1989), E. L. Doctorow",,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Liar ,"1969), Keith Waterhouse",,,,,,,,,,,,,,,,,,,,,,,,,,
Birdy ,"1978), William Wharton",,,,,,,,,,,,,,,,,,,,,,,,,,
The Bishop's Wife ,"1928), Robert Nathan",,,,,,,,,,,,,,,,,,,,,,,,,,
Biruma no tategoto ,The Burmese Harp) ,1946) ,"a.k.a. Harp of Burma), Michio Takeyama",,,,,,,,,,,,,,,,,,,,,,,,
The Biscuit Eater ,"1939), James H. Street",,,,,,,,,,,,,,,,,,,,,,,,,,
