Book,Film
"Shoeless Joe (1982), W. P. Kinsella",Field of Dreams (1989)
"The Shootist (1975), Glendon Swarthout",The Shootist (1976)
"Shout at the Devil (1968), Wilbur Smith",Shout at the Devil (1976)
"Shutter Island (2003), Dennis Lehane",Shutter Island (2010)
"Sideways (2004), Rex Pickett",Sideways (2004)
"The Siege of Trencher's Farm (1969), Gordon Williams",Straw Dogs (1971)Straw Dogs (2011)
"The Silence of the Lambs (1988), Thomas Harris",The Silence of the Lambs (1991)
"The Singer Not the Song (1953), Audrey Erskine Lindop",The Singer Not the Song (1961)
"Single Lady (1931), John Monk Saunders",The Last Flight (1931)
"A Simple Plan (1993), Scott Smith",A Simple Plan (1998)
"Simple Simon (1996), Ryne Douglas Pearson",Mercury Rising (1998)
"Sister Carrie (1900), Theodore Dreiser",Carrie (1952)
"The Sisterhood of the Traveling Pants (2001), Ann Brashares",The Sisterhood of the Traveling Pants (2005)* The Sisterhood of the Traveling Pants 2 (2008)
"Six Days of the Condor (1974), James Grady",Three Days of the Condor (1975)
"Six Weeks (1976), Fred Mustard Stewart",Six Weeks (1982)
"Skinwalkers (1986), Tony Hillerman",Skinwalkers (2002)
"Skipping Christmas (2001), John Grisham",Christmas with the Kranks (2004)
"Skyscraper (1931), Faith Baldwin",Skyscraper Souls (1932)
"Slaughterhouse-Five (1969), Kurt Vonnegut",Slaughterhouse-Five (1972)
"Slayground (1971), Donald E. Westlake (as Richard Stark)",Slayground (1983)
"Sleeping with the Enemy (1987), Nancy Price",Sleeping with the Enemy (1991)
"Sliver (1991), Ira Levin",Sliver (1993)
"Slugs (1982), Shaun Hutson",Slugs (1988)
"Small Vices (1997), Robert B. Parker",Spenser: Small Vices (1999) (TV)
"The Snatchers (1953), Lionel White",The Night of the Following Day (1968)
"Snow Angels (1994), Stewart O'Nan",Snow Angels (2007)
"So Red the Rose (1934), Stark Young",So Red the Rose (1935)
"Solaris (1961), Stanislaw Lem",Solaris (1972)Solaris (2002)
"Soldier of Fortune (1954), Ernest K. Gann",Soldier of Fortune (1955)
"A Soldier's Daughter Never Cries (1990),[2] Kaylie Jones",A Soldier's Daughter Never Cries (1998)
"Something Wicked This Way Comes (1962), Ray Bradbury",Something Wicked This Way Comes (1983)
"The Song of Bernadette (1941), Franz Werfel",The Song of Bernadette (1943)
"Sons and Lovers (1913), D. H. Lawrence",Sons and Lovers (1960)Sons and Lovers (1981) (TV) (serial)Sons and Lovers (2003) (TV) (serial)
"S.O.S. Noronha (1954), Pierre Viré",S.O.S. Noronha (1957)
"Sour Sweet (1982), Timothy Mo",Soursweet (1989)
"Sorstalanság (Fatelessness) (1975), Imre Kertész",Fateless (2005)
"The Sound and the Fury (1929), William Faulkner",The Sound and the Fury (1959)
"Space (1982), James A. Michener",Space (1985) (TV)
"The Space Vampires (1976), Colin Wilson",Lifeforce (1985)
"The Spanish Gardener (1950), A. J. Cronin",The Spanish Gardener (1957)
"Spartacus (1951), Howard Fast",Spartacus (1960)Spartacus (2004)
"Sphere (1987), Michael Crichton",Sphere (1998)
"Spider (1990), Patrick McGarth",Spider (2002)
"The Spiderwick Chronicles (2003–2009) (series), Tony DiTerlizzi and Holly Black",The Spiderwick Chronicles (2008)
"Spirales (1987), Christopher Frank",Spirale (1987)
"Split Images (1981), Elmore Leonard",Split Images (1992) (TV)
"The Spoilers (1906), Rex Beach",The Spoilers (1914)The Spoilers (1923)The Spoilers (1930)The Spoilers (1942)The Spoilers (1955)
"The Spook Who Sat by the Door (1969), Sam Greenlee",The Spook Who Sat by the Door (1973)
"A Sporting Proposition (1973), James Aldridge",Ride a Wild Pony (1975)
"Spy Story (1974), Len Deighton",Spy Story (1976)
"The Spy Who Came in from the Cold (1963), John le Carré",The Spy Who Came in from the Cold (1965)
"The Spy Who Loved Me (1962), Ian Fleming",The Spy Who Loved Me (1977)
"Stairs of Sand (1929), Zane Grey",Stairs of Sand (1929)
